Alloy,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Bi,Ga,Pb,Zr,Al
1050,0.25,0.4,0.05,0.05,0.05,0,0,0.05,0,0,0,0,0,99.15
1060,0.25,0.35,0.05,0.028,0.03,0.03,0.05,0.05,0.028,0.03,0.03,0.03,0.03,99.014
1100,0.45,0.45,0.125,0.05,0,0,0.1,0,0,0,0,0,0,98.825
1199,0.006,0.006,0.006,0.002,0.006,0,0.006,0.005,0.002,0,0.005,0,0,99.956
2014,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0,0,0,0,92.2
2024,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,92.05
2219,0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.06,0,0,0,0.175,92.445
3003,0.6,0.7,0.125,1.25,0,0,0.1,0,0,0,0,0,0,97.225
3004,0.3,0.7,0.25,1.25,1.05,0,0.25,0,0,0,0,0,0,96.2
3102,0.4,0.7,0.1,0.225,0,0,0.3,0,0.1,0,0,0,0,98.175
4043,5.25,0.8,0.3,0.05,0.05,0,0.1,0,0.2,0,0,0,0,93.25
5005,0.3,0.7,0.2,0.2,0.8,0.1,0.25,0,0,0,0,0,0,97.45
5052,0.25,0.4,0.1,0.1,2.5,0.25,0.1,0,0,0,0,0,0,96.3
5083,0.4,0.4,0.1,0.7,4.45,0.15,0.25,0,0.15,0,0,0,0,93.4
5086,0.4,0.5,0.1,0.45,4,0.15,0.25,0,0.15,0,0,0,0,94
5154,0.25,0.4,0.1,0.1,3.5,0.25,0.2,0,0.2,0,0,0,0,95
5356,0.25,0.4,0.1,0.1,5,0.125,0.1,0,0.13,0,0,0,0,93.795
5454,0.25,0.4,0.1,0.75,2.7,0.125,0.25,0,0.2,0,0,0,0,95.225
5456,0.25,0.4,0.1,0.75,5.1,0.125,0.25,0,0.2,0,0,0,0,92.825
5754,0.4,0.4,0.1,0.5,3.1,0.3,0.2,0,0.15,0,0,0,0,94.85
6005,0.75,0.35,0.1,0.1,0.5,0.1,0.1,0,0.1,0,0,0,0,97.9
6005A,0.7,0.35,0.3,0.5,0.55,0.3,0.2,0,0.1,0,0,0,0,97
6060,0.45,0.2,0.1,0.1,0.475,0.05,0.15,0,0.1,0,0,0,0,98.375
6061,0.6,0.7,0.275,0.15,1,0.195,0.25,0,0.15,0,0,0,0,96.68
6063,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,98.075
6066,1.35,0.5,0.95,0.85,1.1,0.4,0.25,0,0.2,0,0,0,0,94.4
6070,1.35,0.5,0.275,0.7,0.85,0.1,0.25,0,0.15,0,0,0,0,95.825
6082,1,0.5,0.1,0.7,0.9,0.25,0.2,0,0.1,0,0,0,0,96.25
6105,0.8,0.35,0.1,0.1,0.625,0.1,0.1,0,0.1,0,0,0,0,97.725
6162,0.6,0.5,0.2,0.1,0.9,0.1,0.25,0,0.1,0,0,0,0,97.25
6262,0.6,0.7,0.275,0.15,1,0.09,0.25,0,0.15,0.55,0,0.55,0,95.685
6351,1,0.5,0.1,0.6,0.6,0,0.2,0,0.2,0,0,0,0,96.8
6463,0.4,0.15,0.2,0.05,0.675,0,0.05,0,0,0,0,0,0,98.475
7005,0.35,0.4,0.1,0.45,1.4,0.13,4.5,0,0.035,0,0,0,0.14,92.495
7022,0.5,0.5,0.75,0.25,3.15,0.2,4.75,0,0.2,0,0,0,0,89.7
7068,0.12,0.15,2,0.1,2.6,0.05,7.8,0,0.01,0,0,0,0.1,87.07
7072,0.35,0.35,0.1,0.1,0.1,0,1.05,0,0,0,0,0,0,97.95
7075,0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,88.67
7079,0.3,0.4,0.6,0.2,3.3,0.175,4.3,0,0.1,0,0,0,0,90.625
7116,0.15,0.3,0.8,0.05,1.1,0,4.7,0.05,0.05,0,0.03,0,0,92.77
7129,0.15,0.3,0.7,0.1,1.65,0.1,4.7,0.05,0.05,0,0.03,0,0,92.17
7178,0.4,0.5,2,0.3,2.75,0.23,6.8,0,0.2,0,0,0,0,86.82
8176,0.09,0.7,0,0,0,0,0.1,0,0,0,0.03,0,0,99.08
Al-Si,50,0,0,0,0,0,0,0,0,0,0,0,0,50
Al-Fe,0,50,0,0,0,0,0,0,0,0,0,0,0,50
Al-Cu,0,0,50,0,0,0,0,0,0,0,0,0,0,50
Al-Mn,0,0,0,50,0,0,0,0,0,0,0,0,0,50
Al-Mg,0,0,0,0,50,0,0,0,0,0,0,0,0,50
Al-Cr,0,0,0,0,0,50,0,0,0,0,0,0,0,50
Al-Zn,0,0,0,0,0,0,50,0,0,0,0,0,0,50
Al-V,0,0,0,0,0,0,0,50,0,0,0,0,0,50
Al-Ti,0,0,0,0,0,0,0,0,50,0,0,0,0,50
Al-Bi,0,0,0,0,0,0,0,0,0,50,0,0,0,50
Al-Ga,0,0,0,0,0,0,0,0,0,0,50,0,0,50
Al-Pb,0,0,0,0,0,0,0,0,0,0,0,50,0,50
Al-Zr,0,0,0,0,0,0,0,0,0,0,0,0,50,50
Si-Fe,50,50,0,0,0,0,0,0,0,0,0,0,0,0
Si-Cu,50,0,50,0,0,0,0,0,0,0,0,0,0,0
Si-Mn,50,0,0,50,0,0,0,0,0,0,0,0,0,0
Si-Mg,50,0,0,0,50,0,0,0,0,0,0,0,0,0
Si-Cr,50,0,0,0,0,50,0,0,0,0,0,0,0,0
Si-Zn,50,0,0,0,0,0,50,0,0,0,0,0,0,0
Si-V,50,0,0,0,0,0,0,50,0,0,0,0,0,0
Si-Ti,50,0,0,0,0,0,0,0,50,0,0,0,0,0
Si-Bi,50,0,0,0,0,0,0,0,0,50,0,0,0,0
Si-Ga,50,0,0,0,0,0,0,0,0,0,50,0,0,0
Si-Pb,50,0,0,0,0,0,0,0,0,0,0,50,0,0
Si-Zr,50,0,0,0,0,0,0,0,0,0,0,0,50,0
Fe-Cu,0,50,50,0,0,0,0,0,0,0,0,0,0,0
Fe-Mn,0,50,0,50,0,0,0,0,0,0,0,0,0,0
Fe-Mg,0,50,0,0,50,0,0,0,0,0,0,0,0,0
Fe-Cr,0,50,0,0,0,50,0,0,0,0,0,0,0,0
Fe-Zn,0,50,0,0,0,0,50,0,0,0,0,0,0,0
Fe-V,0,50,0,0,0,0,0,50,0,0,0,0,0,0
Fe-Ti,0,50,0,0,0,0,0,0,50,0,0,0,0,0
Fe-Bi,0,50,0,0,0,0,0,0,0,50,0,0,0,0
Fe-Ga,0,50,0,0,0,0,0,0,0,0,50,0,0,0
Fe-Pb,0,50,0,0,0,0,0,0,0,0,0,50,0,0
Fe-Zr,0,50,0,0,0,0,0,0,0,0,0,0,50,0
Cu-Mn,0,0,50,50,0,0,0,0,0,0,0,0,0,0
Cu-Mg,0,0,50,0,50,0,0,0,0,0,0,0,0,0
Cu-Cr,0,0,50,0,0,50,0,0,0,0,0,0,0,0
Cu-Zn,0,0,50,0,0,0,50,0,0,0,0,0,0,0
Cu-V,0,0,50,0,0,0,0,50,0,0,0,0,0,0
Cu-Ti,0,0,50,0,0,0,0,0,50,0,0,0,0,0
Cu-Bi,0,0,50,0,0,0,0,0,0,50,0,0,0,0
Cu-Ga,0,0,50,0,0,0,0,0,0,0,50,0,0,0
Cu-Pb,0,0,50,0,0,0,0,0,0,0,0,50,0,0
Cu-Zr,0,0,50,0,0,0,0,0,0,0,0,0,50,0
Mn-Mg,0,0,0,50,50,0,0,0,0,0,0,0,0,0
Mn-Cr,0,0,0,50,0,50,0,0,0,0,0,0,0,0
Mn-Zn,0,0,0,50,0,0,50,0,0,0,0,0,0,0
Mn-V,0,0,0,50,0,0,0,50,0,0,0,0,0,0
Mn-Ti,0,0,0,50,0,0,0,0,50,0,0,0,0,0
Mn-Bi,0,0,0,50,0,0,0,0,0,50,0,0,0,0
Mn-Ga,0,0,0,50,0,0,0,0,0,0,50,0,0,0
Mn-Pb,0,0,0,50,0,0,0,0,0,0,0,50,0,0
Mn-Zr,0,0,0,50,0,0,0,0,0,0,0,0,50,0
Mg-Cr,0,0,0,0,50,50,0,0,0,0,0,0,0,0
Mg-Zn,0,0,0,0,50,0,50,0,0,0,0,0,0,0
Mg-V,0,0,0,0,50,0,0,50,0,0,0,0,0,0
Mg-Ti,0,0,0,0,50,0,0,0,50,0,0,0,0,0
Mg-Bi,0,0,0,0,50,0,0,0,0,50,0,0,0,0
Mg-Ga,0,0,0,0,50,0,0,0,0,0,50,0,0,0
Mg-Pb,0,0,0,0,50,0,0,0,0,0,0,50,0,0
Mg-Zr,0,0,0,0,50,0,0,0,0,0,0,0,50,0
Cr-Zn,0,0,0,0,0,50,50,0,0,0,0,0,0,0
Cr-V,0,0,0,0,0,50,0,50,0,0,0,0,0,0
Cr-Ti,0,0,0,0,0,50,0,0,50,0,0,0,0,0
Cr-Bi,0,0,0,0,0,50,0,0,0,50,0,0,0,0
Cr-Ga,0,0,0,0,0,50,0,0,0,0,50,0,0,0
Cr-Pb,0,0,0,0,0,50,0,0,0,0,0,50,0,0
Cr-Zr,0,0,0,0,0,50,0,0,0,0,0,0,50,0
Zn-V,0,0,0,0,0,0,50,50,0,0,0,0,0,0
Zn-Ti,0,0,0,0,0,0,50,0,50,0,0,0,0,0
Zn-Bi,0,0,0,0,0,0,50,0,0,50,0,0,0,0
Zn-Ga,0,0,0,0,0,0,50,0,0,0,50,0,0,0
Zn-Pb,0,0,0,0,0,0,50,0,0,0,0,50,0,0
Zn-Zr,0,0,0,0,0,0,50,0,0,0,0,0,50,0
V-Ti,0,0,0,0,0,0,0,50,50,0,0,0,0,0
V-Bi,0,0,0,0,0,0,0,50,0,50,0,0,0,0
V-Ga,0,0,0,0,0,0,0,50,0,0,50,0,0,0
V-Pb,0,0,0,0,0,0,0,50,0,0,0,50,0,0
V-Zr,0,0,0,0,0,0,0,50,0,0,0,0,50,0
Ti-Bi,0,0,0,0,0,0,0,0,50,50,0,0,0,0
Ti-Ga,0,0,0,0,0,0,0,0,50,0,50,0,0,0
Ti-Pb,0,0,0,0,0,0,0,0,50,0,0,50,0,0
Ti-Zr,0,0,0,0,0,0,0,0,50,0,0,0,50,0
Bi-Ga,0,0,0,0,0,0,0,0,0,50,50,0,0,0
Bi-Pb,0,0,0,0,0,0,0,0,0,50,0,50,0,0
Bi-Zr,0,0,0,0,0,0,0,0,0,50,0,0,50,0
Ga-Pb,0,0,0,0,0,0,0,0,0,0,50,50,0,0
Ga-Zr,0,0,0,0,0,0,0,0,0,0,50,0,50,0
Pb-Zr,0,0,0,0,0,0,0,0,0,0,0,50,50,0
6064,0.8,0.7,0.4,0.15,1.2,0.14,0.25,0,0.15,0.7,0,0.4,0,95.11
X1,0.7,0,0,0.3,2.4,0,0,0,0.1,0,0,0,0,96.5
AlTiB,0,0,0,0,0,0,0,0,5,0,0,0,0,95
4032,11.2,0,0,0,0,0,0,0,0,0,0,0,0,88.8